user_id,address,city,postcode,country
1,"498 Garrett Lodge Suite 825
South Keithland, NM 19001",West Tony,37883,Barbados
2,"679 Tiffany Ranch Apt. 001
West Clarence, HI 10669",Lake Madison,26536,Switzerland
3,"PSC 4044, Box 7394
APO AA 28742",Nguyenfurt,15194,Antarctica (the territory South of 60 deg S)
4,"467 King Crescent Apt. 747
Yolandafort, MN 47339",Priceshire,13140,Venezuela
5,"1935 Davis Rest
Wilsonburgh, MI 42591",North Michelle,08759,Denmark
6,"1307 Garrett Lodge
Ellisville, OH 89475",Brownview,97150,San Marino
7,"Unit 0071 Box 2514
DPO AA 04366",Turnerport,10577,Malaysia
8,"1215 Rivas Rapids Suite 837
Cherylside, TX 21179",East Stevenshire,69766,Cocos (Keeling) Islands
9,"30377 Michelle Fork Apt. 078
East Kathrynmouth, PA 60894",Alexismouth,81858,Saint Kitts and Nevis
10,"790 Patel Islands Apt. 569
Port Lindsaybury, AK 06365",New Melissa,95641,Guinea-Bissau
11,"32195 Hart Plaza Apt. 452
Robinchester, GA 10077",Lake Gary,01287,Saint Helena
12,"0852 Arnold Squares
Suttonshire, FM 99780",West Gregory,56500,Seychelles
13,"76323 Micheal Spur Apt. 306
Richton, NE 48327",Carneymouth,38481,Sudan
14,"709 Mitchell Radial Suite 685
West Danielside, AS 54595",Davidland,99091,Myanmar
15,"PSC 0972, Box 3636
APO AP 61014",Smithton,47570,Slovenia
16,"1595 Jackson Heights
East Brandonside, ND 39988",West Joseph,04622,Afghanistan
17,"58042 Ronald Glen Apt. 214
North Shannon, MA 31354",Wallaceburgh,67636,Western Sahara
18,"5212 Whitaker Knolls
Lake Christinachester, WY 75793",East Paulview,45240,Cote d'Ivoire
19,"66644 Larry Landing Apt. 964
Tinaville, AR 76853",Mitchellhaven,87623,Cambodia
20,"PSC 2261, Box 2225
APO AA 74095",East Kathrynborough,31109,Turkey
21,"USNS Perez
FPO AA 33209",Foxhaven,92734,Bouvet Island (Bouvetoya)
22,"968 Guzman Dale
Rioston, LA 96891",West Veronica,29782,Guatemala
23,"03514 Castro Mountain
Michaelport, LA 58705",New Suzanne,55982,Nigeria
24,"7322 Aaron Common Suite 638
Malonefort, KY 12441",Lake Donnaside,31039,Vietnam
25,"2672 Thompson Island
Kevinshire, MO 34411",Arnoldview,38218,Taiwan
26,"PSC 9610, Box 9960
APO AP 42339",Thomasbury,42801,Slovakia (Slovak Republic)
27,"11869 Smith Square Suite 581
South Angel, MS 92904",Christinaview,83000,Korea
